Text|Level|RFTagger|parsedText
['Aber ich wohne jetzt in Stuttgart.', 'Ich werde mehr Geld verdienen .', 'Ich plane eine Party für Freitag Abend .']|A|"[""[['Aber', 'CONJ', 'Coord', 'Aber'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['wohne', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['jetzt', 'ADV'], ['in', 'APPR', 'In'], ['Stuttgart', 'N', 'Name', 'Dat', 'Sg', 'Neut'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['werde', 'VFIN', 'Aux', '1', 'Sg', 'Pres', 'Ind'], ['mehr', 'PRO', 'Indef', 'Attr', '-', '*', '*', '*'], ['Geld', 'N', 'Reg', 'Acc', 'Sg', 'Neut'], ['verdienen', 'VINF', 'Full', '-'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['plane', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['eine', 'ART', 'Indef', 'Acc', 'Sg', 'Fem'], ['Party', 'N', 'Reg', 'Acc', 'Sg', 'Fem'], ['für', 'APPR', 'Acc'], ['Freitag', 'N', 'Reg', 'Acc', 'Sg', 'Masc'], ['Abend', 'N', 'Reg', 'Acc', 'Sg', 'Masc'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (S (KON Aber) (PPER ich) (VVFIN wohne) (ADV jetzt) (PP (APPR in) (NE Stuttgart)) ($. .)))', '(ROOT (NUR (S (PPER Ich) (VAFIN werde) (NP (PIAT mehr) (NN Geld))) (VVFIN verdienen) ($. .)))', '(ROOT (S (PPER Ich) (VVFIN plane) (NP (ART eine) (NN Party)) (PP (APPR für) (NN Freitag) (NN Abend)) ($. .)))']
['Es dauert drei Tage und es gibt ein interessantes Programm mit viel Live-Musik.', 'Sie sagt die Menschen ist die Gefahr fast .', 'Ich konnte mit dem Auto sie abholen und alles Sehenswürdigkeiten von Istanbul zeigen.']|A|"[""[['Es', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Neut'], ['dauert', 'VFIN', 'Full', '3', 'Sg', 'Pres', 'Ind'], ['drei', 'CARD'], ['Tage', 'N', 'Reg', 'Acc', 'Pl', 'Masc'], ['und', 'CONJ', 'Coord', '-'], ['es', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Neut'], ['gibt', 'VFIN', 'Full', '3', 'Sg', 'Pres', 'Ind'], ['ein', 'ART', 'Indef', 'Acc', 'Sg', 'Neut'], ['interessantes', 'ADJA', 'Pos', 'Acc', 'Sg', 'Neut'], ['Programm', 'N', 'Reg', 'Acc', 'Sg', 'Neut'], ['mit', 'APPR', 'Dat'], ['viel', 'PRO', 'Indef', 'Attr', '-', '*', '*', '*'], ['Live-Musik', 'N', 'Reg', 'Dat', 'Sg', 'Fem'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Sie', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Fem'], ['sagt', 'VFIN', 'Full', '3', 'Sg', 'Pres', 'Ind'], ['die', 'ART', 'Def', 'Acc', 'Pl', 'Masc'], ['Menschen', 'N', 'Reg', 'Acc', 'Pl', 'Masc'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['die', 'ART', 'Def', 'Nom', 'Sg', 'Fem'], ['Gefahr', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['fast', 'ADV'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['konnte', 'VFIN', 'Mod', '1', 'Sg', 'Past', 'Ind'], ['mit', 'APPR', 'Dat'], ['dem', 'ART', 'Def', 'Dat', 'Sg', 'Neut'], ['Auto', 'N', 'Reg', 'Dat', 'Sg', 'Neut'], ['sie', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Fem'], ['abholen', 'VINF', 'Full', '-'], ['und', 'CONJ', 'Coord', '-'], ['alles', 'PRO', 'Indef', 'Subst', '-', 'Nom', 'Sg', 'Neut'], ['Sehenswürdigkeiten', 'N', 'Reg', 'Acc', 'Pl', 'Fem'], ['von', 'APPR', 'Dat'], ['Istanbul', 'N', 'Name', 'Dat', 'Sg', 'Neut'], ['zeigen', 'VINF', 'Full', '-'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (CS (S (PPER Es) (VVFIN dauert) (NP (CARD drei) (NN Tage))) (KON und) (S (PPER es) (VVFIN gibt) (NP (ART ein) (ADJA interessantes) (NN Programm) (PP (APPR mit) (PIDAT viel) (NN Live-Musik)))) ($. .)))', '(ROOT (S (PPER Sie) (VVFIN sagt) (S (NP (ART die) (NN Menschen)) (VAFIN ist) (NP (ART die) (NN Gefahr)) (ADV fast)) ($. .)))', '(ROOT (S (PPER Ich) (VMFIN konnte) (CVP (VP (PP (APPR mit) (ART dem) (NN Auto)) (NP (PPER sie)) (VVINF abholen)) (KON und) (VP (NP (PIS alles)) (NP (NN Sehenswürdigkeiten) (PP (APPR von) (NE Istanbul))) (VVINF zeigen))) ($. .)))']
['Ich glaube , dass tatsächlich Folgendes passiert ist .', 'wie lieben das Baby.', 'Mein Gärten ist nicht fertig und ich habe eine Hochzeitreservierung in zwei Wochen .']|A|"[""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['glaube', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], [',', 'SYM', 'Pun', 'Comma'], ['dass', 'CONJ', 'SubFin', '-'], ['tatsächlich', 'ADJD', 'Pos'], ['Folgendes', 'N', 'Reg', 'Nom', 'Sg', 'Neut'], ['passiert', 'VPP', 'Full', 'Psp'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['wie', 'PROADV', 'Inter'], ['lieben', 'VFIN', 'Full', '3', 'Pl', 'Pres', 'Ind'], ['das', 'ART', 'Def', 'Nom', 'Sg', 'Neut'], ['Baby', 'N', 'Reg', 'Nom', 'Sg', 'Neut'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Mein', 'PRO', 'Poss', 'Attr', '-', 'Nom', 'Sg', 'Masc'], ['Gärten', 'N', 'Reg', 'Nom', 'Pl', 'Masc'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['nicht', 'PART', 'Neg'], ['fertig', 'ADJD', 'Pos'], ['und', 'CONJ', 'Coord', '-'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['habe', 'VFIN', 'Haben', '1', 'Sg', 'Pres', 'Ind'], ['eine', 'ART', 'Indef', 'Acc', 'Sg', 'Fem'], ['Hochzeitreservierung', 'N', 'Reg', 'Acc', 'Sg', 'Fem'], ['in', 'APPR', 'In'], ['zwei', 'CARD'], ['Wochen', 'N', 'Reg', 'Dat', 'Pl', 'Fem'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (S (PPER Ich) (VVFIN glaube) ($, ,) (S (KOUS dass) (ADJD tatsächlich) (NN Folgendes) (VVPP passiert) (VAFIN ist)) ($. .)))', '(ROOT (S (NP (KOKOM wie) (ADJA lieben)) (NP (ART das) (NN Baby)) ($. .)))', '(ROOT (CS (S (NP (PPOSAT Mein) (NN Gärten)) (VAFIN ist) (AP (PTKNEG nicht) (ADJD fertig))) (KON und) (S (PPER ich) (VAFIN habe) (NP (ART eine) (NN Hochzeitreservierung) (PP (APPR in) (CARD zwei) (NN Wochen)))) ($. .)))']
['Die Kirchen sind Baptist , Katholik , Trimenon , Methodist und Presbyterin .', 'Aber möchte ich ein Podcaster von Istanbul kannst du mir Schinken?', 'Hast du Lust?']|A|"[""[['Die', 'ART', 'Def', 'Nom', 'Pl', 'Fem'], ['Kirchen', 'N', 'Reg', 'Nom', 'Pl', 'Fem'], ['sind', 'VFIN', 'Sein', '3', 'Pl', 'Pres', 'Ind'], ['Baptist', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], [',', 'SYM', 'Pun', 'Comma'], ['Katholik', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], [',', 'SYM', 'Pun', 'Comma'], ['Trimenon', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], [',', 'SYM', 'Pun', 'Comma'], ['Methodist', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], ['und', 'CONJ', 'Coord', '-'], ['Presbyterin', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Aber', 'CONJ', 'Coord', 'Aber'], ['möchte', 'VFIN', 'Mod', '1', 'Sg', 'Past', 'Subj'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['ein', 'ART', 'Indef', 'Nom', 'Sg', 'Masc'], ['Podcaster', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], ['von', 'APPR', 'Dat'], ['Istanbul', 'N', 'Name', 'Dat', 'Sg', 'Neut'], ['kannst', 'VFIN', 'Mod', '2', 'Sg', 'Pres', 'Ind'], ['du', 'PRO', 'Pers', 'Subst', '2', 'Nom', 'Sg', '*'], ['mir', 'PRO', 'Pers', 'Subst', '1', 'Dat', 'Sg', '*'], ['Schinken', 'N', 'Reg', 'Acc', 'Sg', 'Masc'], ['?', 'SYM', 'Pun', 'Sent']]"", ""[['Hast', 'VFIN', 'Haben', '2', 'Sg', 'Pres', 'Ind'], ['du', 'PRO', 'Pers', 'Subst', '2', 'Nom', 'Sg', '*'], ['Lust', 'N', 'Reg', 'Acc', 'Sg', 'Fem'], ['?', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (S (NP (ART Die) (NN Kirchen)) (VAFIN sind) (CNP (NE Baptist) ($, ,) (NN Katholik) ($, ,) (NN Trimenon) ($, ,) (NN Methodist) (KON und) (NN Presbyterin)) ($. .)))', '(ROOT (S (KON Aber) (NP (AVP (S (VMFIN möchte) (PPER ich))) (ART ein) (NN Podcaster) (PP (APPR von) (NE Istanbul))) (VMFIN kannst) (PPER du) (NP (PPER mir) (NN Schinken)) ($. ?)))', '(ROOT (S (VAFIN Hast) (PPER du) (NN Lust) ($. ?)))']
['Ich', 'Mit freundlich große.', 'Ich brauche keinen Computer.']|A|"[""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*']]"", ""[['Mit', 'APPR', 'Dat'], ['freundlich', 'ADJD', 'Pos'], ['große', 'ADJA', 'Pos', 'Acc', 'Pl', 'Fem'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['brauche', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['keinen', 'PRO', 'Indef', 'Attr', '-', 'Acc', 'Sg', 'Masc'], ['Computer', 'N', 'Reg', 'Acc', 'Sg', 'Masc'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (NUR (PPER Ich)))', '(ROOT (CS (S (PP (APPR Mit) (ADJD freundlich))) (S (NP (AP (ADJA große)))) ($. .)))', '(ROOT (S (PPER Ich) (VVFIN brauche) (NP (PIAT keinen) (NN Computer)) ($. .)))']
['Ich hoffe sehen Sie da .', 'ich suche zwei zimmer wohn wegen', 'Liebe Frau Maria, am 20.01. 12']|A|"[""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['hoffe', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['sehen', 'VINF', 'Full', '-'], ['Sie', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Fem'], ['da', 'PART', 'Verb'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['suche', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['zwei', 'CARD'], ['zimmer', 'VIMP', 'Full', '2', 'Sg'], ['wohn', 'VIMP', 'Full', '2', 'Sg'], ['wegen', 'APPR', 'Gen']]"", ""[['Liebe', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['Frau', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['Maria', 'N', 'Name', 'Nom', 'Sg', 'Fem'], [',', 'SYM', 'Pun', 'Comma'], ['am', 'APPRART', 'Dat', 'Sg', 'Masc'], ['20.01', 'CARD'], ['.', 'SYM', 'Pun', 'Sent'], ['12', 'CARD']]""]"|['(ROOT (S (PPER Ich) (VVFIN hoffe) (CS (S (VVFIN sehen) (PPER Sie) (PTKVZ da))) ($. .)))', '(ROOT (S (PPER ich) (VVFIN suche) (NP (CARD zwei) (ADJA zimmer) (NN wohn)) (APPR wegen)))', '(ROOT (S (NP (NN Liebe) (NP (NN Frau) (NE Maria))) ($, ,) (PP (APPRART am) (CARD 20.01)) ($. .)))']
['Es ist schön, wenn man verwandte im Ausland hat, die man ab und zu besuchen kann .. .', 'Ich mache nicht gern laufen .', 'Verständlicherweise wird ich mindestens etliche tausend Dollars mitbringen - nach allem ist New York City die teuerst Stadt in der Welt .']|A|"[""[['Es', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Sg', 'Neut'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['schön', 'ADJD', 'Pos'], [',', 'SYM', 'Pun', 'Comma'], ['wenn', 'CONJ', 'SubFin', '-'], ['man', 'PRO', 'Indef', 'Subst', '-', 'Nom', 'Sg', '*'], ['verwandte', 'VFIN', 'Full', '3', 'Sg', 'Past', 'Ind'], ['im', 'APPRART', 'Dat', 'Sg', 'Neut'], ['Ausland', 'N', 'Reg', 'Dat', 'Sg', 'Neut'], ['hat', 'VFIN', 'Haben', '3', 'Sg', 'Pres', 'Ind'], [',', 'SYM', 'Pun', 'Comma'], ['die', 'PRO', 'Rel', 'Subst', '-', 'Acc', 'Sg', 'Fem'], ['man', 'PRO', 'Indef', 'Subst', '-', 'Nom', 'Sg', '*'], ['ab', 'ADV'], ['und', 'CONJ', 'Coord', '-'], ['zu', 'ADV'], ['besuchen', 'VINF', 'Full', '-'], ['kann', 'VFIN', 'Mod', '3', 'Sg', 'Pres', 'Ind'], ['..', 'CARD'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['mache', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], ['nicht', 'PART', 'Neg'], ['gern', 'ADV'], ['laufen', 'VINF', 'Full', '-'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Verständlicherweise', 'ADV'], ['wird', 'VFIN', 'Aux', '3', 'Sg', 'Pres', 'Ind'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['mindestens', 'ADV'], ['etliche', 'PRO', 'Indef', 'Attr', '-', 'Acc', 'Pl', 'Masc'], ['tausend', 'CARD'], ['Dollars', 'N', 'Reg', 'Acc', 'Pl', 'Masc'], ['mitbringen', 'VINF', 'Full', '-'], ['-', 'SYM', 'Pun', 'Hyph'], ['nach', 'APPR', 'Dat'], ['allem', 'PRO', 'Indef', 'Subst', '-', 'Dat', 'Sg', 'Neut'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['New', 'N', 'Name', '*', '*', '*'], ['York', 'N', 'Name', '*', '*', '*'], ['City', 'N', 'Name', '*', '*', '*'], ['die', 'ART', 'Def', 'Nom', 'Sg', 'Fem'], ['teuerst', 'TRUNC', 'Noun'], ['Stadt', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['in', 'APPR', 'In'], ['der', 'ART', 'Def', 'Dat', 'Sg', 'Fem'], ['Welt', 'N', 'Reg', 'Dat', 'Sg', 'Fem'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (S (PPER Es) (VAFIN ist) (ADJD schön) ($, ,) (CS (S (KOUS wenn) (NP (PIS man)) (VVFIN verwandte) (PP (APPRART im) (NN Ausland)) (AVP (S (VAFIN hat))) ($, ,) (NP (PRELS die) (PIS man)) (PTKVZ ab)) (KON und) (S (VP (VZ (PTKZU zu) (VVINF besuchen))) (VMFIN kann))) ($. .)))', '(ROOT (S (PPER Ich) (VVFIN mache) (AVP (PTKNEG nicht) (ADV gern)) (VP (VVINF laufen)) ($. .)))', '(ROOT (CS (S (ADV Verständlicherweise) (VAFIN wird) (PPER ich) (VP (NP (AP (ADV mindestens) (NM (PIAT etliche) (CARD tausend))) (NN Dollars)) (VVINF mitbringen))) ($[ -) (S (PP (APPR nach) (PIS allem)) (VAFIN ist) (NP (MPN (NE New) (NE York)) (NE City)) (NP (ART die) (ADJA teuerst) (NN Stadt) (PP (APPR in) (ART der) (NN Welt)))) ($. .)))']
['Meine Schwester ist Schwierig müde, dann wäre ich für ein paar Tage nicht zu hause.', 'Ich glaube , dass tatsächlich Folgendes passiert ist .', 'Etwas silberne Farbe berührte der Puppenwagen und ihre Schuhe , also malten sie alles .']|A|"[""[['Meine', 'PRO', 'Poss', 'Attr', '-', 'Nom', 'Sg', 'Fem'], ['Schwester', 'N', 'Reg', 'Nom', 'Sg', 'Fem'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['Schwierig', 'ADJD', 'Pos'], ['müde', 'ADJD', 'Pos'], [',', 'SYM', 'Pun', 'Comma'], ['dann', 'ADV'], ['wäre', 'VFIN', 'Sein', '1', 'Sg', 'Past', 'Subj'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['für', 'APPR', 'Acc'], ['ein', 'ART', 'Indef', '*', '*', '*'], ['paar', 'PRO', 'Indef', 'Attr', '-', '*', '*', '*'], ['Tage', 'N', 'Reg', 'Acc', 'Pl', 'Masc'], ['nicht', 'PART', 'Neg'], ['zu', 'PART', 'Deg'], ['hause', 'VFIN', 'Full', '3', 'Sg', 'Pres', 'Subj'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['glaube', 'VFIN', 'Full', '1', 'Sg', 'Pres', 'Ind'], [',', 'SYM', 'Pun', 'Comma'], ['dass', 'CONJ', 'SubFin', '-'], ['tatsächlich', 'ADJD', 'Pos'], ['Folgendes', 'N', 'Reg', 'Nom', 'Sg', 'Neut'], ['passiert', 'VPP', 'Full', 'Psp'], ['ist', 'VFIN', 'Sein', '3', 'Sg', 'Pres', 'Ind'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Etwas', 'PRO', 'Indef', 'Attr', '-', '*', '*', '*'], ['silberne', 'ADJA', 'Pos', 'Acc', 'Sg', 'Fem'], ['Farbe', 'N', 'Reg', 'Acc', 'Sg', 'Fem'], ['berührte', 'VFIN', 'Full', '3', 'Sg', 'Past', 'Ind'], ['der', 'ART', 'Def', 'Nom', 'Sg', 'Masc'], ['Puppenwagen', 'N', 'Reg', 'Nom', 'Sg', 'Masc'], ['und', 'CONJ', 'Coord', '-'], ['ihre', 'PRO', 'Poss', 'Attr', '-', 'Nom', 'Pl', 'Masc'], ['Schuhe', 'N', 'Reg', 'Nom', 'Pl', 'Masc'], [',', 'SYM', 'Pun', 'Comma'], ['also', 'ADV'], ['malten', 'VFIN', 'Full', '3', 'Pl', 'Past', 'Ind'], ['sie', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Pl', '*'], ['alles', 'PRO', 'Indef', 'Subst', '-', 'Acc', 'Sg', 'Neut'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (CS (S (NP (PPOSAT Meine) (NN Schwester)) (VAFIN ist) (AP (ADJD Schwierig) (ADJD müde))) ($, ,) (S (ADV dann) (VAFIN wäre) (PPER ich) (VP (PP (APPR für) (NP (ART ein) (PIDAT paar)) (NN Tage)) (PTKNEG nicht) (VZ (PTKZU zu) (VVINF hause)))) ($. .)))', '(ROOT (S (PPER Ich) (VVFIN glaube) ($, ,) (S (KOUS dass) (ADJD tatsächlich) (NN Folgendes) (VVPP passiert) (VAFIN ist)) ($. .)))', '(ROOT (CS (S (NP (ADV Etwas) (ADJA silberne) (NN Farbe)) (VVFIN berührte) (CNP (NP (ART der) (NN Puppenwagen)) (KON und) (NP (PPOSAT ihre) (NN Schuhe)))) ($, ,) (S (ADV also) (VVFIN malten) (PPER sie) (PIS alles)) ($. .)))']
['ich muss am Wochenende arbeiten.', 'Gehen wir am Donnerstag im 17:30 Schwimmbad in Bahnhofs Straße 123?', 'Sie sind in der Dunkelheit Ski gelaufen.']|A|"[""[['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['muss', 'VFIN', 'Mod', '1', 'Sg', 'Pres', 'Ind'], ['am', 'APPRART', 'Dat', 'Sg', 'Neut'], ['Wochenende', 'N', 'Reg', 'Dat', 'Sg', 'Neut'], ['arbeiten', 'VINF', 'Full', '-'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Gehen', 'VFIN', 'Full', '1', 'Pl', 'Pres', 'Ind'], ['wir', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Pl', '*'], ['am', 'APPRART', 'Dat', 'Sg', 'Masc'], ['Donnerstag', 'N', 'Reg', 'Dat', 'Sg', 'Masc'], ['im', 'APPRART', 'Dat', 'Sg', 'Neut'], ['17:30', 'ADJA', 'Pos', 'Dat', 'Sg', 'Neut'], ['Schwimmbad', 'N', 'Reg', 'Dat', 'Sg', 'Neut'], ['in', 'APPR', 'In'], ['Bahnhofs', 'N', 'Reg', 'Gen', 'Sg', 'Masc'], ['Straße', 'N', 'Reg', 'Dat', 'Sg', 'Fem'], ['123', 'CARD'], ['?', 'SYM', 'Pun', 'Sent']]"", ""[['Sie', 'PRO', 'Pers', 'Subst', '3', 'Nom', 'Pl', '*'], ['sind', 'VFIN', 'Sein', '3', 'Pl', 'Pres', 'Ind'], ['in', 'APPR', 'In'], ['der', 'ART', 'Def', 'Dat', 'Sg', 'Fem'], ['Dunkelheit', 'N', 'Reg', 'Dat', 'Sg', 'Fem'], ['Ski', 'N', 'Reg', 'Acc', 'Sg', 'Masc'], ['gelaufen', 'VPP', 'Full', 'Psp'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (S (PPER ich) (VMFIN muss) (VP (PP (APPRART am) (NN Wochenende)) (VVINF arbeiten)) ($. .)))', '(ROOT (S (VVFIN Gehen) (PPER wir) (PP (APPRART am) (NN Donnerstag)) (PP (APPRART im) (NP (CARD 17:30) (NN Schwimmbad))) (PP (APPR in) (NN Bahnhofs)) (NP (NN Straße) (CARD 123)) ($. ?)))', '(ROOT (S (PPER Sie) (VAFIN sind) (VP (PP (APPR in) (ART der) (NN Dunkelheit) (NN Ski)) (VVPP gelaufen)) ($. .)))']
['ich', 'Ich hat zwei Weihnachtsgeschenke .', 'Da muss ich arbeiten.']|A|"[""[['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*']]"", ""[['Ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['hat', 'VFIN', 'Haben', '3', 'Sg', 'Pres', 'Ind'], ['zwei', 'CARD'], ['Weihnachtsgeschenke', 'N', 'Reg', 'Acc', 'Pl', 'Neut'], ['.', 'SYM', 'Pun', 'Sent']]"", ""[['Da', 'ADV'], ['muss', 'VFIN', 'Mod', '1', 'Sg', 'Pres', 'Ind'], ['ich', 'PRO', 'Pers', 'Subst', '1', 'Nom', 'Sg', '*'], ['arbeiten', 'VINF', 'Full', '-'], ['.', 'SYM', 'Pun', 'Sent']]""]"|['(ROOT (NUR (PPER ich)))', '(ROOT (S (PPER Ich) (VAFIN hat) (NP (CARD zwei) (NN Weihnachtsgeschenke)) ($. .)))', '(ROOT (S (ADV Da) (VMFIN muss) (PPER ich) (VP (VVINF arbeiten)) ($. .)))']
